Interval start,prague-throughput,cubic-throughput,
0,1.20E+06,1.14E+06,
1,1.28E+06,1.08E+06,
2,1.13E+06,1.00E+06,
3,1.34E+06,1.04E+06,
4,1.30E+06,1.06E+06,
5,1.22E+06,1.10E+06,
6,1.26E+06,1.02E+06,
7,1.36E+06,1.01E+06,
8,1.32E+06,1.01E+06,
9,1.22E+06,909656,
10,1.33E+06,1.12E+06,
11,1.30E+06,1.12E+06,
12,1.27E+06,1.19E+06,
13,1.46E+06,1.04E+06,
14,1.44E+06,1.04E+06,
15,1.22E+06,1.20E+06,
16,1.42E+06,1.04E+06,
17,1.38E+06,1.01E+06,
18,1.41E+06,1.03E+06,
19,1.06E+06,1.37E+06,
20,1.26E+06,1.21E+06,
21,1.33E+06,928068,
22,1.41E+06,989882,
23,1.21E+06,1.19E+06,
24,1.10E+06,1.18E+06,
25,1.43E+06,979284,
26,1.40E+06,978396,
27,1.29E+06,1.18E+06,
28,957134,1.43E+06,
29,1.11E+06,1.10E+06,
30,1.37E+06,1.03E+06,
31,1.41E+06,1.05E+06,
32,1.29E+06,1.10E+06,
33,850784,1.28E+06,
34,1.23E+06,1.25E+06,
35,1.45E+06,983760,
36,1.46E+06,999296,
37,1.17E+06,1.23E+06,
38,995872,1.50E+06,
39,1.01E+06,1.47E+06,
40,1.39E+06,1.09E+06,
41,1.21E+06,942024,
42,1.40E+06,1.09E+06,
43,1.11E+06,1.08E+06,
44,965328,1.45E+06,
45,1.02E+06,1.36E+06,
46,1.37E+06,1.10E+06,
47,1.29E+06,982312,
48,1.38E+06,935770,
49,1.07E+06,1.33E+06,
50,918712,1.38E+06,
51,920006,1.38E+06,
52,1.26E+06,1.17E+06,
53,1.50E+06,1.24E+06,
54,1.59E+06,1.31E+06,
55,1.32E+06,1.29E+06,
56,1.11E+06,1.67E+06,
57,1.35E+06,1.46E+06,
58,1.67E+06,1.10E+06,
59,1.55E+06,1.03E+06,
60,836072,1.66E+06,
61,1.02E+06,1.39E+06,
62,1.51E+06,796540,
63,1.60E+06,847558,
64,1.44E+06,948822,
65,1.28E+06,1.19E+06,
66,1.18E+06,1.09E+06,
67,1.20E+06,1.18E+06,
68,1.29E+06,1.20E+06,
69,1.13E+06,988566,
70,1.26E+06,1.09E+06,
71,1.36E+06,1.18E+06,
72,1.22E+06,1.24E+06,
73,1.03E+06,1.41E+06,
74,1.44E+06,1.01E+06,
75,1.16E+06,1.28E+06,
76,960096,1.43E+06,
77,875470,1.32E+06,
78,1.26E+06,1.14E+06,
79,1.41E+06,934076,
80,1.39E+06,928068,
81,960588,1.03E+06,
82,1.00E+06,1.30E+06,
83,1.12E+06,952622,
84,1.28E+06,1.09E+06,
85,1.24E+06,1.06E+06,
86,1.20E+06,1.02E+06,
87,965372,1.30E+06,
88,811188,1.22E+06,
89,915560,1.37E+06,
90,984544,1.33E+06,
91,1.53E+06,1.02E+06,
92,1.65E+06,1.10E+06,
93,1.23E+06,1.15E+06,
94,1.22E+06,1.50E+06,
95,1.51E+06,1.29E+06,
96,1.42E+06,1.35E+06,
97,1.34E+06,1.34E+06,
98,797366,1.59E+06,
99,1.01E+06,1.38E+06,
100,1.17E+06,1.17E+06,
101,1.13E+06,1.13E+06,
102,1.12E+06,1.12E+06,
103,1.16E+06,1.16E+06,
104,1.16E+06,1.16E+06,
105,1.20E+06,1.20E+06,
106,1.12E+06,1.44E+06,
107,991462,1.49E+06,
108,983070,1.48E+06,
109,971318,1.45E+06,
110,954334,1.43E+06,
111,981128,1.47E+06,
112,942454,1.41E+06,
113,974544,1.47E+06,
114,957068,1.44E+06,
115,934388,1.40E+06,
116,949594,1.43E+06,
117,921946,1.38E+06,
118,1.06E+06,1.37E+06,
119,1.46E+06,976058,
120,1.49E+06,986872,
121,1.42E+06,1.03E+06,
122,1.24E+06,1.28E+06,
123,1.13E+06,1.16E+06,
124,1.22E+06,1.24E+06,
125,1.21E+06,1.23E+06,
126,1.21E+06,1.21E+06,
127,1.27E+06,988928,
128,1.29E+06,1.14E+06,
129,858420,1.28E+06,
130,1.13E+06,1.70E+06,
131,1.46E+06,1.37E+06,
132,1.76E+06,1.27E+06,
133,1.57E+06,1.33E+06,
134,1.62E+06,1.19E+06,
135,1.47E+06,1.46E+06,
136,829474,1.66E+06,
137,821440,1.64E+06,
138,805888,1.70E+06,
139,618800,1.85E+06,
140,725150,1.69E+06,
141,885378,1.33E+06,
142,958678,1.44E+06,
143,977308,1.46E+06,
144,989816,1.49E+06,
145,989948,1.49E+06,
146,964800,1.46E+06,
147,992352,1.48E+06,
148,955642,1.43E+06,
149,996268,1.50E+06,
150,1.00E+06,1.50E+06,
,1192715.099,1232949.126,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
