Interval start,prague-throughput,cubic-throughput
0,752754,1500000
1,1170000,979130
2,800170,1110000
3,748176,1370000
4,1130000,1040000
5,1350000,842296
6,1220000,919212
7,579410,1540000
8,833662,1090000
9,1080000,1130000
10,1340000,835134
11,1360000,715702
12,1340000,800422
13,1140000,940316
14,594010,1610000
15,803960,1340000
16,859446,1330000
17,1120000,1140000
18,1380000,805120
19,1150000,883706
20,1410000,830280
21,1110000,1080000
22,977598,1240000
23,958306,1220000
24,961178,1090000
25,768818,1070000
26,881578,1100000
27,1110000,869072
28,1120000,1050000
29,1210000,911348
30,1180000,905604
31,1060000,1280000
32,1130000,1010000
33,1220000,971900
34,1120000,927580
35,947240,1150000
36,1420000,824068
37,1250000,1060000
38,1170000,943844
39,843682,1450000
40,913730,1320000
41,977214,1260000
42,1160000,998946
43,1030000,1150000
44,1260000,985398
45,1510000,674856
46,1440000,763806
47,1190000,956080
48,1120000,1050000
49,1030000,1090000
50,918194,1300000
51,1010000,1250000
52,1010000,984502
53,996436,1260000
54,1110000,1130000
55,1360000,819136
56,1350000,852022
57,1350000,780116
58,1020000,1200000
59,934848,1310000
60,1320000,950530
61,1600000,581942
62,857580,1070000
63,1080000,1190000
64,1030000,1240000
65,1110000,1070000
66,1330000,715468
67,1040000,1080000
68,925302,1250000
69,1100000,1080000
70,1230000,990636
71,1250000,957950
72,1160000,1060000
73,1170000,1030000
74,1210000,888872
75,1260000,888482
76,1110000,1020000
77,736706,1420000
78,1020000,1170000
79,1020000,946650
80,1550000,666044
81,1110000,1040000
82,1070000,1150000
83,1020000,1150000
84,1440000,819058
85,1610000,595880
86,986454,1190000
87,981952,1240000
88,953880,1240000
89,1220000,817666
90,868920,1190000
91,1060000,1110000
92,1010000,1090000
93,1250000,1010000
94,1550000,688404
95,867640,1210000
96,1160000,1020000
97,1280000,979726
98,1480000,754104
99,1340000,795184
100,879524,1310000
101,1030000,1290000
102,855092,1220000
103,1280000,748510
104,1320000,845966
105,1100000,1070000
106,945414,1030000
107,1210000,967346
108,1310000,971382
109,1200000,938880
110,1090000,1040000
111,1180000,1050000
112,1090000,1090000
113,1190000,970408
114,1280000,888482
115,1120000,1140000
116,1270000,897332
117,1090000,1100000
118,1050000,1130000
119,794174,1280000
120,1030000,1150000
121,1210000,1020000
122,1080000,798986
123,1330000,614828
124,1240000,766834
125,1020000,1040000
126,1080000,938724
127,1030000,1110000
128,1140000,1060000
129,994876,1170000
130,1070000,1030000
131,908336,1240000
132,1130000,1020000
133,1370000,731076
134,1600000,593514
135,1160000,1020000
136,1050000,1130000
137,992126,1060000
138,851720,1300000
139,1070000,1110000
140,993752,1060000
141,1010000,1160000
142,1380000,754332
143,1400000,755618
144,1240000,959342
145,1010000,918496
146,1110000,1080000
147,1030000,1190000
148,1280000,949946
149,1080000,1220000
150,1020000,1190000
,1118204.821,1036664.53
