Interval start,prague-latency,cubic-latency
0,0.000384055,0
1,0.000374308,0
2,0.000377607,0.000204788
3,0.000369581,0.000429951
4,0.000372189,0
5,0.000376795,0.000450961
6,0.000368185,0.00064875
7,0.000378734,0.000531869
8,0.000378889,0.000254209
9,0.00037267,0.000292486
10,0.000374174,0.000463585
11,0.000369168,0.00032901
12,0.000370184,0.000376628
13,0.000380071,0.000342369
14,0.000371567,0.000403473
15,0.000363199,0.000618325
16,0.000362995,0.000600225
17,0.000367183,0.000531111
18,0.000364573,0.000533232
19,0.000369763,0.000431752
20,0.000373244,0.000301892
21,0.000371101,0.00040196
22,0.000369318,0.00032802
23,0.000380671,0.000356028
24,0.000363331,0.000469008
25,0.000408972,0.000394281
26,0.000366121,0.000395485
27,0.000353519,0.000473531
28,0.000363273,0.000459519
29,0.000379034,0.000384916
30,0.00036311,0.000424425
31,0.000380027,0.000414172
32,0.000366836,0.000441367
33,0.000368399,0.000516041
34,0.000379888,0.00040118
35,0.000375751,0.000444949
36,0.000358971,0.000558081
37,0.000377941,0.000459917
38,0.000383984,0.000464262
39,0.000358368,0.000521717
40,0.000363244,0.000432692
41,0.000364382,0.000429276
42,0.000361435,0.000479539
43,0.00037031,0.000485314
44,0.000370125,0.000386342
45,0.000445563,0.000473806
46,0.000380941,0.000575528
47,0.000371828,0.000437524
48,0.000360704,0.000447299
49,0.000352372,0.000489752
50,0.000366221,0.000371554
51,0.000347796,0.000505547
52,0.000364997,0.000463248
53,0.000390104,0.000495615
54,0.000354094,0.000526507
55,0.000360415,0.000463488
56,0.000355967,0.000537567
57,0.000374094,0.00044359
58,0.000364675,0.000442196
59,0.000367026,0.000427869
60,0.000357446,0.000518149
61,0.000371046,0.000676054
62,0.000359132,0.000457374
63,0.000353241,0.00045727
64,0.000362188,0.000486728
65,0.000384767,0.000378262
66,0.000365141,0.000484709
67,0.000363756,0.000472839
68,0.000384892,0.000972966
69,0.000375783,0.000390243
70,0.000399677,0.000513937
71,0.000373214,0.000415942
72,0.000371908,0.000416375
73,0.000365012,0.000432912
74,0.000366576,0.000408634
75,0.000356259,0.0005351
76,0.000387968,0.000449189
77,0.00037673,0.000418616
78,0.00035479,0.000524026
79,0.000375104,0.000403221
80,0.000368506,0.000422848
81,0.000364541,0.00048599
82,0.000378257,0.000469643
83,0.000358613,0.000431154
84,0.000356374,0.000510027
85,0.000365578,0.000498188
86,0.000364298,0.000493291
87,0.000368821,0.000558515
88,0.000374493,0.000390231
89,0.000369062,0.000396899
90,0.000353807,0.000499473
91,0.000352943,0.000493536
92,0.000375439,0.000474718
93,0.000360943,0.000486017
94,0.000359265,0.000528606
95,0.000358081,0.000528632
96,0.000378099,0.000430932
97,0.000379567,0.000483616
98,0.000362001,0.000524229
99,0.000375827,0.000441888
100,0.000367019,0.000492938
101,0.000365623,0.000430659
102,0.000369966,0.000539087
103,0.00036396,0.000534566
104,0.000415958,0.000516278
105,0.000457305,0.00059236
106,0.000388182,0.000502452
107,0.000415475,0.000532709
108,0.000443055,0.000227419
109,0.000432711,0.00059226
110,0.000478963,0.000473959
111,0.000424153,0.000506968
112,0.000393517,0.000667481
113,0.000380208,0.000430644
114,0.000405908,0.000426355
115,0.000370122,0.000423025
116,0.000361594,0.00041419
117,0.000391387,0.000442084
118,0.000366695,0.000450028
119,0.000347732,0.000528647
120,0.000362253,0.000446642
121,0.000377121,0.000480801
122,0.000377727,0.000495086
123,0.000366565,0.000469575
124,0.00036871,0.000443731
125,0.000423623,0.000513462
126,0.000367911,0.000399384
127,0.000366128,0.000440791
128,0.000390079,0.000428332
129,0.000443516,0.000459158
130,0.000378297,0.000386493
131,0.000370154,0.000501168
132,0.000362947,0.000524337
133,0.000372079,0.000528551
134,0.000366907,0.000422567
135,0.000372816,0.00043083
136,0.000390569,0.00051827
137,0.000373951,0.000452434
138,0.000375073,0.000464778
139,0.000403644,0.000429304
140,0.000357112,0.000453205
141,0.00035986,0.000542212
142,0.000366774,0.000446369
143,0.000368365,0.000615193
144,0.000371124,0.000503479
145,0.000376568,0.000446928
146,0.000355605,0.00045188
147,0.000357816,0.000451635
148,0.000354366,0.000487262
149,0.000372823,0.000422607
150,0.000351322,0.000487944
,0.000374467,0.000456935
